,Drink,Drink ID,Category,Glass,Instructions,Ingredient1,Measure1,Ingredient2,Measure2,Ingredient3,Measure3,Ingredient4,Measure4,Ingredient5,Measure5,Ingredient6,Measure6,Ingredient7,Measure7,Ingredient8,Measure8,Ingredient9,Measure9,Ingredient10,Measure10,Ingredient11,Measure11,Ingredient12,Measure12,Ingredient13,Measure13,Ingredient14,Measure14,Ingredient15,Measure15
52,Affair,11008,Ordinary Drink,Highball glass,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",Strawberry schnapps,2 oz ,Orange juice,2 oz ,Cranberry juice,2 oz ,Club soda,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
53,Affinity,11009,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Scotch,1 1/2 oz ,Sweet Vermouth,1 oz ,Dry Vermouth,1 oz ,Orange bitters,2 dashes ,, ,, ,, ,, ,, ,,,,,,,,,,,,
54,After Dinner Cocktail,11010,Ordinary Drink,Cocktail glass,Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.,Apricot brandy,1 oz ,Triple sec,1 oz ,Lime,Juice of 1 ,Lime,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,
55,After Five,13807,Shot,Shot glass,"1. Pour Kahlua into shot glass to about 1/2 full. 2. Using a spoon(inverted), slowly pour in the Peppermint Schnapps until glass is about 3/4 full. Done correctly, the Schnapps will flow under the Kahlua for a clear layer. 3. Again using a spoon, but this time right side up, slowly top off the glass with a layer of Bailey's. Be careful to place the spoon right at the top of the Kahlua layer and to raise it as the glass fills up. Done correctly, this will provide a layer of Bailey's floating over the Kahlua. 4. Toss it down all at once for something like a Peppermint Pattie, WITH A BANG!!! NOTE: Best if all ingredients are chilled",Peppermint schnapps,"
",Kahlua,"
",Bailey's irish cream,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,,
56,After Supper Cocktail,11011,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Triple sec,1 oz ,Apricot brandy,1 oz ,Lemon juice,1/2 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
57,After sex,15182,Ordinary Drink,Highball glass,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,Vodka,2 cl ,Creme de Banane,1 cl ,Orange juice,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
58,Afterglow,12560,Cocktail,Highball Glass,Mix. Serve over ice.,Grenadine,1 part ,Orange juice,4 parts ,Pineapple juice,4 parts ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
59,Afternoon,13162,Coffee / Tea,Collins Glass,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",Kahlua,1 cl ,Bailey's irish cream,1 cl ,Frangelico,1 1/2 ,Coffee,4 cl hot ,Cream,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
60,Alabama Slammer,11012,Ordinary Drink,Highball glass,"Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve.",Southern Comfort,1 oz ,Amaretto,1 oz ,Sloe gin,1/2 oz ,Lemon juice,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,
61,Alaska Cocktail,11013,Ordinary Drink,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve.",Orange bitters,2 dashes ,Gin,1 1/2 oz ,Yellow Chartreuse,3/4 oz ,Lemon peel,Twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,
62,Alexander,11014,Ordinary Drink,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,Gin,1/2 oz ,Creme de Cacao,1/2 oz white ,Light cream,2 oz ,Nutmeg,,,,,,,,,,,,,,,,,,,,,,,
63,Alfie Cocktail,11019,Ordinary Drink,Cocktail glass,"Combine and shake all ingredients with ice, strain into a cocktail glass, and serve.",Lemon vodka,1 1/2 oz ,Triple sec,1 dash ,Pineapple juice,1 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
64,Algonquin,11020,Ordinary Drink,Cocktail glass,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",Blended whiskey,1 1/2 oz ,Dry Vermouth,1 oz ,Pineapple juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
65,Alice Cocktail,12562,Cocktail,Cocktail glass,"Shake well, strain into a large cocktail glass.",Grenadine,1 cl ,Orange juice,1 cl ,Pineapple juice,2 cl ,Cream,4 cl ,, ,, ,, ,, ,, ,,,,,,,,,,,,
66,Alice in Wonderland,17094,Ordinary Drink,Collins Glass,Just mix the three ingredients one to one to one,Amaretto,1 shot ,Grand Marnier,1 shot ,Southern Comfort,1 shot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
67,Allegheny,11021,Ordinary Drink,Cocktail glass,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,Dry Vermouth,1 oz ,Bourbon,1 oz ,Blackberry brandy,1 1/2 tsp ,Lemon juice,1 1/2 tsp ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,
68,Allies Cocktail,11022,Ordinary Drink,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",Dry Vermouth,1 oz ,Gin,1 oz ,Kummel,1/2 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
69,Almeria,11023,Ordinary Drink,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Dark rum,2 oz ,Kahlua,1 oz ,Egg white,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
70,Almond Chocolate Coffee,16082,Ordinary Drink,Coffee mug,Pour in order into coffee cup. Top with whipped creme and chocolate shcvings.,Amaretto,3/4 oz ,Dark Creme de Cacao,1/2 oz ,Coffee,8 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
71,Almond Joy,11024,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Amaretto,1/2 oz ,Creme de Cacao,1/2 oz white ,Light cream,2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
72,Aloha Fruit punch,12862,Punch / Party Drink,Collins Glass,"Add 1/4 cup water to ginger root. Boil 3 minutes. Strain. Add the liquid to the guava, lemon and pineapple juices. Make a syrup of sugar and remaining water. Cool. Combine with juices and pineapple. Chill throroughly.",Water,3/4 cup ,Ginger,2 tsp ,Guava juice,2 cups ,Lemon juice,1 1/2 tblsp ,Pineapple,1 1/2 cup ,Sugar,1 cup ,Pineapple juice,3-4 cups ,, ,, ,, ,, ,, ,,,,,,
73,Amaretto And Cream,11025,Ordinary Drink,Cocktail glass,"Shake well with cracked ice, strain contents into a cocktail glass, and serve.",Amaretto,1 1/2 oz ,Light cream,1 1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
74,Amaretto Liqueur,12792,Homemade Liqueur,Collins Glass,"Combine sugar and 3/4 cup water in a small saucepan. Bring to a boil, stirring constantly. Reduce heat and simmer until all sugar is dissolved. Remove from heat and cool. In an aging container, combine apricot halves, almond extract, grain alcohol with 1/2 cup water, and brandy. Stir in cooled sugar syrup mixture. Cap and let age for 2 days. Remove apricot halves. (Save apricot halves, can be used for cooking). Add food coloring and glycerine. Stir, recap and continue aging for 1 to 2 months. Re-bottle as desired. Liqueur is ready to serve but will continue to improve with additional aging.",Sugar,1 cup,Water,3/4 cup ,Apricot,2 ,Almond flavoring,1 tblsp ,Grain alcohol,1/2 cup pure ,Water,1/2 cup ,Brandy,1 cup ,Food coloring,3 drops yellow ,Food coloring,6 drops red ,Food coloring,2 drops blue ,Glycerine,1/2 tsp ,, ,, ,, ,, 
75,Amaretto Mist,11026,Ordinary Drink,Old-fashioned glass,"Pour amaretto in an old-fashioned glass over crushed ice. Add the wedge of lime and serve. (A wedge of lemon may be substituted for lime, if preferred.)",Amaretto,1 1/2 oz ,Lime,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
76,Amaretto Rose,11027,Ordinary Drink,Collins glass,Pour amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.,Amaretto,1 1/2 oz ,Lime juice,1/2 oz ,Club soda,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
77,Amaretto Shake,15194,Ordinary Drink,Collins Glass,Combine all ingredients in a blender and blend at high speed until smooth. Serve in chilled glass garnished with bittersweet chocolate shavings.,Chocolate ice-cream,2 scoops ,Brandy,2 oz ,Amaretto,2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
78,Amaretto Sour,13731,Ordinary Drink,Collins Glass,Shake and strain. Garnish with a cherry and an orange slice.,Amaretto,1 1/2 oz ,Sour mix,3 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
79,Amaretto Stinger,11028,Ordinary Drink,Cocktail glass,"Shake ingredients well with cracked ice, strain into a cocktail glass, and serve.",Amaretto,1 1/2 oz ,White Creme de Menthe,3/4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
80,Amaretto Stone Sour,14306,Other/Unknown,Collins Glass,Shake and Serve over ice,Amaretto,1 part ,Sour mix,1 part ,Orange juice,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
81,Amaretto Stone Sour #3,16100,Other/Unknown,Highball glass,"Shake sour mix, tequila and amaretto with ice. Strain into highball glass. Add a splash of OJ. Garnish with orange slice and a cherry.",Sour mix,2 oz ,Amaretto,2 oz ,Tequila,2 oz ,Orange juice,Add splash ,, ,, ,, ,, ,, ,,,,,,,,,,,,
82,Amaretto Sunrise,14578,Ordinary Drink,Collins Glass,Mix together the amaretto and orange juice. Pour into glass and then add the grenadine untill you see the sunrise.,Amaretto,1 cl ,Orange juice,4 oz ,Grenadine,1/4 cl ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
83,Amaretto Sunset,17168,Ordinary Drink,Collins Glass,"Shake ingredients in bartender's mixer quickly, just 5 shakes. Strain out ice, serve in glass immediately with a slice of orange.",Triple sec,1/2 jigger ,Amaretto,3 shots ,Cider,1/2 cup ,Ice,Add 1/2 cup ,, ,, ,, ,, ,, ,,,,,,,,,,,,
84,Amaretto Sweet & Sour,16202,Punch / Party Drink,Margarita/Coupette glass,"Fill the blender with 3/4 ice. Add sweet & sour mix to the top of the ice. Add about 1"" of pineapple juice, 1/2"" of melon liqeur, and 1/2 to 1/4"" of amaretto. Then blend the mix until it is of margaritta consistency or thinner.",Amaretto,"
",Sweet and sour,"
",Midori melon liqueur, ,Pineapple juice, ,, ,, ,, ,,,,,,,,,,,,,,,,
85,Amaretto Tea,11029,Ordinary Drink,Pousse cafe glass,"Pour hot tea into a pousse-cafe glass, using a spoon in glass to prevent cracking. Add amaretto, but do not stir. Top with chilled whipped cream and serve.",Tea,6 oz hot ,Amaretto,2 oz ,Whipped cream,Chilled ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
86,Americano,15941,Ordinary Drink,Collins glass,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",Campari,1 oz ,Sweet Vermouth,1 oz red ,Lemon peel,Twist of ,Orange peel,Twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,
87,Angel Face,11034,Ordinary Drink,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass.,Apricot brandy,1/2 oz ,Apple brandy,1/2 oz ,Gin,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
88,Angelica Liqueur,12794,Homemade Liqueur,Collins Glass,"Combine all herbs, nuts and spices with vodka in a 1 quart or larger aging container. Cap tightly and shake daily for 2 weeks. Strain through a fine muslin cloth or coffee filter, discarding solids. Clean out aging container. Place liquid back in container. Place sugar and water in saucepan and stir to combine over medium heat. When sugar is completely dissolved, set aside and let cool. When cool combine with food coloring and add to liqueur liquid. Cap and allow to age and mellow in a cool, dark place for one month.",Angelica root,3 tblsp chopped,Almond,1 tblsp chopped ,Allspice,1 cracked ,Cinnamon,1 one-inch ,Anise,3-6 crushed ,Coriander,1/8 tsp powdered ,Marjoram leaves,1 tblsp fresh chopped ,Vodka,1.5 cup ,Sugar,1/2 cup granulated ,Water,1/4 cup ,Food coloring,1 drop yellow ,Food coloring,1 drop green ,, ,, ,, 
89,Apello,15106,Other/Unknown,Collins Glass,Stirr. Grnish with maraschino cherry.,Orange juice,4 cl ,Grapefruit juice,3 cl ,Apple juice,1 cl ,Maraschino cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,
90,Apple Berry Smoothie,12710,Other/Unknown,Highball Glass,Throw everything into a blender and liquify.,Berries,1 cup ,Apple,2 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
91,Apple Cider Punch #1,12864,Punch / Party Drink,Collins Glass,"If you use the whole all spice and cloves, tie them in cheesecloth. Heat the mixture. Stir occasionally. If you want an alcoholic drink, rum would be nice.",Apple cider,4 qt ,Brown sugar,1 cup ,Lemonade,6 oz frozen ,Orange juice,6 oz frozen ,Cloves,6 whole ,Allspice,6 whole ,Nutmeg,1 tsp ground ,Cinnamon,3 sticks ,, ,, ,, ,, ,, ,,,,
92,Apple Grande,16289,Punch / Party Drink,Punch Bowl,Chill both ingredients!! Mix in a tumbler and enjoy!,Tequila,3 oz ,Apple cider,12 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
93,Apple Karate,12564,Cocktail,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",Apple juice,2 cups ,Carrot,1 large ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
94,Apple Pie with A Crust,16958,Other/Unknown,Collins Glass,Just mix the two liquids and sprinkle in the cinnamon. Serve either cold or heated.,Apple juice,3 parts ,Malibu rum,1 part ,Cinnamon,3 dashes ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
95,Apple Slammer,13683,Shot,Shot glass,"pour into a shot glass and present to consumer, they are expected to cover the top of the shotglass with thier palm, raise the glass, slam it on the bar and the swallow quickly.",7-Up,1 part ,Apple schnapps,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
96,Applecar,11046,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Applejack,1 oz ,Triple sec,1 oz ,Lemon juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
97,Applejack,16311,Cocktail,Cocktail glass,"Add all ingredients into mixing glass, chill and strain into cocktail glass",Jack Daniels,1 oz ,Midori melon liqueur,1/2 oz ,Sour mix,2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
98,Apricot Lady,11050,Ordinary Drink,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the rum, apricot brandy, triple sec, lemon juice, and egg white. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice.",Light rum,1 1/2 oz ,Apricot brandy,1 oz ,Triple sec,1 tsp ,Lemon juice,1/2 oz ,Egg white,1 ,Orange,1 ,, ,, ,, ,, ,, ,,,,,,,,
99,Apricot punch,15849,Punch / Party Drink,Punch bowl,Pour all ingrediants into a large punch bowl. Add ice and 4 oranges that are peeled and divided.,Apricot brandy,1 qt ,Champagne,4 fifth ,Vodka,1 fifth ,7-Up,4 L ,Orange juice,1/2 gal ,, ,, ,, ,, ,, ,,,,,,,,,,
100,Archbishop,11052,Ordinary Drink,Old-fashioned glass,"In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well.",Gin,2 oz ,Wine,1 oz Green Ginger ,Benedictine,1 tsp ,Lime,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,
101,Arctic Fish,14622,Punch / Party Drink,Beer pilsner,"Fill glass with ice and fish, add vodka, grape soda and orange juice. DO NOT STIR!!!!! Serve well chilled.",Vodka,1/3 part ,Grape soda,1/3 part ,Orange juice,1/3 part ,Ice,lots ,Candy,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,
102,Arctic Mouthwash,17118,Punch / Party Drink,Cocktail glass,Blend all ingredients in a blender on high until ice is finely crushed. It should be of a slushy consistency. Pour immediately and serve.,Maui,5 oz blue ,Mountain Dew,5 oz ,Ice," cubes
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
103,Arise My Love,11053,Ordinary Drink,Champagne flute,Put creme de menthe into a champagne flute. Fill with chilled champagne and serve.,Champagne,Chilled ,Green Creme de Menthe,1 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
104,Arizona Antifreeze,16354,Shot,Shot glass,Pour all ingredients into shot glass and slam !!!!,Vodka,1/3 oz ,Midori melon liqueur,1/3 oz ,Sweet and sour,1/3 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
105,Arizona Stingers,14584,Cocktail,Hurricane glass,Place ice cubes in the hurricane glass . Add the 2 HEAPING shots of Absolute Vodka (Note: You can add as many shots of Absolute as you want!) Fill the rest of glass with the Arizona Icetea with lemon. Stir to mix using a spoon. Drink up and enjoy!!!!!!!,Absolut Vodka,2 shots ,Iced tea,12 oz lemon ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
106,Arizona Twister,17074,Cocktail,Hurricane glass,"Just mix in the shots of rum, vodka, and tequila. Add splashes of the three juices, heavy on the pineapple. Top off with grenadine. Crushed ice should already be in glass. Top off the glass with a pineapple wedge.",Vodka,1 shot ,Malibu rum,1 shot ,Gold tequila,1 shot ,Orange juice,1 splash ,Pineapple juice,1 splash ,Cream of coconut,1 splash ,Grenadine,1 dash ,Ice,crushed ,Pineapple,1 wedge ,, ,, ,, ,, ,, ,,
107,Army special,17066,Cocktail,Cocktail glass,"Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw.",Vodka,30 ml ,Gin,30 ml ,Lime juice cordial,45 ml ,Ice,1/2 glass crushed ,, ,, ,, ,, ,, ,,,,,,,,,,,,
108,Arthur Tompkins,11054,Ordinary Drink,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the gin, Grand Marnier, and lemon juice. Shake well. Strain into a sour glass and garnish with the lemon twist.",Gin,2 oz ,Grand Marnier,1/2 oz ,Lemon juice,2 tsp ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,
109,Artillery,11055,Ordinary Drink,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",Sweet Vermouth,1 1/2 tsp ,Gin,1 1/2 oz ,Bitters,2 dashes ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
110,Artillery Punch,12870,Punch / Party Drink,Punch bowl,"Combine all the ingredients in a large punch bowl with a block of ice. If found too dry, sugar syrup may be added. Decorate with twists of lemon peel.",Tea,1 quart black ,Rye whiskey,1 quart ,Red wine,1 fifth ,Rum,1 pint Jamaican ,Brandy,1/2 pint ,Benedictine,1 1/2 oz ,Orange juice,1 pint ,Lemon juice,1/2 pint ,, ,, ,, ,, ,, ,,,,
111,Atlantic Sun,13423,Ordinary Drink,Collins Glass,"Shake all the ingredients, top the drink with soda. Garnish with a slice of orange.",Vodka,2 cl Smirnoff ,Southern Comfort,2 cl ,Passion fruit syrup,2 cl ,Sweet and sour,6 cl ,Club soda,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,
112,Atomic Lokade,13086,Ordinary Drink,Collins Glass,"In a shaker, place lemonade, vodka, blue Curacao, and triple sec together. Shake with ice and strain into glass. Add sugar to taste",Lemonade,5 oz ,Vodka,1 oz ,Blue Curacao,1/2 oz ,Triple sec,1/2 oz ,Sugar,"
",Ice, ,, ,, ,, ,, ,,,,,,,,,,
113,Auburn Headbanger,17020,Shot,Shot glass,Mix in spread glass over ice. Strain and pour in shot glass. Sit down before shotting. ENJOY!!,Jägermeister,1 oz ,Goldschlager,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
114,Autodafé,12756,Ordinary Drink,Highball glass,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,Vodka,4 cl ,Lime juice,1 dash ,Soda water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
115,Avalanche,16419,Milk / Float / Shake,Highball glass,"Mix in highball glass over ice, shake well.",Crown Royal,1 shot ,Kahlua,1 shot ,Cream,Fill with ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
116,Avalon,15266,Ordinary Drink,Highball glass,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",Vodka,3 parts,Pisang Ambon,1 part ,Apple juice,6 parts ,Lemon juice,1 1/2 part ,Lemonade,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
117,Aviation,17180,Cocktail,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,Gin,4.5 cl,lemon juice,1.5 cl,maraschino liqueur,1.5 cl,,,,,,,,,,,,,,,,,,,,,,,,
118,Aztec Punch,14364,Punch / Party Drink,Punch bowl,"Mix all ingredients in a pitcher. Mix thoroughly and pour into whatever is available, the bigger the better! This drink packs a big punch, so don't over do it.",Lemonade,1 can ,Vodka,5 oz ,Rum,7 oz ,Ginger ale,About 1 bottle ,, ,, ,, ,, ,, ,,,,,,,,,,,,
119,B-52,15853,Shot,Shot glass,Layer ingredients into a shot glass. Serve with a stirrer.,Bailey's irish cream,1/3 ,Grand Marnier,1/3 ,Kahlua,1/4 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
120,B-53,13332,Shot,Collins Glass,"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52",Kahlua,1/3 shot ,Sambuca,1/3 shot ,Grand Marnier,1/3 shot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
121,Baby Eskimo,15511,Milk / Float / Shake,Collins Glass,"Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink.",Kahlua,2 oz ,Milk,8 oz ,Vanilla ice-cream,2 scoops ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
122,Baby Guinness,17079,Shot,Shot glass,"Pour Kahlua, almost filling shot glass. Then, carefully pour Baileys, using wall of shot glass. This will give the ""Guinness"" its ""head"".",Kahlua,2 1/2 oz ,Bailey's irish cream,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
123,Bacardi Cocktail,17183,Ordinary Drink,Cocktail glass,Shake together with ice. Strain into glass and serve.,Light rum,1 3/4 oz Bacardi ,Lime juice,1 oz ,Sugar syrup,1/2 tsp ,Grenadine,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,
124,Bailey's Dream Shake,14510,Soft Drink / Soda,Collins glass,Blend ingredients for 30 seconds. Definitely refreshing for a hot summer's day !,Bailey's irish cream,2 oz ,Vanilla ice-cream,2 scoops ,Cream,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
125,Balmoral,11060,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Scotch,1 1/2 oz ,Sweet Vermouth,1/2 oz ,Dry Vermouth,1/2 oz ,Bitters,2 dashes ,, ,, ,, ,, ,, ,,,,,,,,,,,,
126,Banana Cantaloupe Smoothie,12708,Other/Unknown,Highball Glass,"Juice cantaloupe, pour juice into blender, add banana, and liquify.",Cantaloupe,Juice of 1/2 ,Banana,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
127,Banana Daiquiri,11064,Ordinary Drink,Champagne flute,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,Light rum,1 1/2 oz ,Triple sec,1 tblsp ,Banana,1 ,Lime juice,1 1/2 oz ,Sugar,1 tsp ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,
128,Banana Milk Shake,12654,Milk / Float / Shake,White wine glass,"Blend very well, preferably in a household mixer. Serve in a wine glass, garnish with whipped cream and a piece of banana.",Milk,10 cl cold ,Orange juice,4 cl ,Sugar syrup,2 tsp ,Banana,1/2 ,, ,, ,, ,, ,, ,,,,,,,,,,,,
129,Banana Strawberry Shake,12656,Milk / Float / Shake,Highball Glass,Blend all together in a blender until smooth.,Strawberries,1/2 lb frozen ,Banana,1 frozen ,Yoghurt,1 cup plain ,Milk,1 cup ,Honey," to taste
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
130,Banana Strawberry Shake Daiquiri-type,12658,Milk / Float / Shake,Cocktail Glass,Blend all together in a blender until smooth.,Strawberries,1/2 lb frozen ,Banana,1 frozen ,Apple juice,2 cups fresh ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
131,Barracuda,17209,Ordinary Drink,Margarita glass,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",Rum,4.5 cl,Galliano,1.5 cl,Pineapple Juice,6 cl,Lime Juice, 1 dash,Prosecco,top up ,, ,, ,,,,,,,,,,,,,,,,
132,Belgian Blue,14071,Soft Drink / Soda,Highball glass,Just pour all ingredients in the glass and stir...,Vodka,2 cl ,Coconut liqueur,1 cl ,Blue Curacao,1 cl ,Sprite,Fill with ,, ,, ,, ,, ,, ,,,,,,,,,,,,
133,Bellini,17195,Ordinary Drink,Champagne Flute,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.",Champagne,6 oz ,Peach schnapps,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
134,Bellini Martini,16176,Ordinary Drink,Cocktail glass,"Add ice cubes to shaker.
Add vodka.
Add peach schnapps.
Add peach nectar.
Shake.
Strain into glass.
Add lemon twist peel.",Ice,8 cubes ,Vodka,3 oz ,Peach nectar,1.5 oz ,Peach schnapps,1.5 oz ,Lemon peel,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
135,Bermuda Highball,11084,Ordinary Drink,Highball glass,"Pour brandy, gin, and dry vermouth into a highball glass over ice cubes. Fill with carbonated water and stir. Add the twist of lemon and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",Brandy,3/4 oz ,Gin,3/4 oz ,Dry Vermouth,3/4 oz ,Carbonated water,"
",Lemon peel,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
136,Berry Deadly,12876,Punch / Party Drink,Collins Glass,Add all ingredients to large bowl. Stir gently. Serve chilled.,Everclear,2 pint ,Wine,1 bottle Boone Strawberry Hill ,Orange juice,1/2 gal ,Kool-Aid,1 gal Tropical Berry ,, ,, ,, ,, ,, ,,,,,,,,,,,,
137,Between The Sheets,17184,Ordinary Drink,Cocktail glass,"Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.",Brandy,1 oz ,Light rum,1 oz ,Triple sec,1 oz ,Lemon juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
138,Bible Belt,16986,Other/Unknown,Highball glass,"Mix all ingredients, and pour over ice.",Southern Comfort,2 oz ,Triple sec,1/2 oz ,Lime,2 wedges ,Sour mix,2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
139,Big Red,13222,Shot,Shot glass,Pour ingredients into 1 ounce shot glass,Irish cream,1/2 oz ,Goldschlager,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
