,Drink,Drink ID,Category,Glass,Instructions,Ingredient1,Measure1,Ingredient2,Measure2,Ingredient3,Measure3,Ingredient4,Measure4,Ingredient5,Measure5,Ingredient6,Measure6,Ingredient7,Measure7,Ingredient8,Measure8,Ingredient9,Measure9,Ingredient10,Measure10,Ingredient11,Measure11,Ingredient12,Measure12,Ingredient13,Measure13,Ingredient14,Measure14,Ingredient15,Measure15
531,Wine Punch,13058,Punch / Party Drink,Collins Glass,Combine all of the ingredients and pour over a block of ice.,Red wine,1 bottle ,Lemon,2 ,Orange juice,1 cup ,Orange,3 ,Pineapple juice,1 cup ,, ,, ,, ,, ,, ,,,,,,,,,,
532,Yellow Bird,17219,Cocktail,Cocktail glass,Shake and strain into a chilled cocktail glass,White Rum,3 cl,Galliano,1.5 cl,Triple Sec,1.5 cl,Lime Juice,1.5 cl,, ,, ,, ,, ,, ,,,,,,,,,,,,
533,Yoghurt Cooler,12728,Other/Unknown,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up. Note: Use lots of ice in this one - great on hot days! To add ice: Remove the center of the cover while the blender is on - drop 3 or 4 ice cubs and blend until they're completely crushed.",Yoghurt,1 cup ,Fruit,1 cup ,Ice,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
534,Zambeer,15933,Soft Drink / Soda,Collins Glass,Mix sambuca with rootbeer and stir. Add ice,Sambuca,1 1/2 oz ,Root beer,Add 10 oz ,Ice," cubes
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
535,Zenmeister,15254,Ordinary Drink,Collins Glass,Mix together and enjoy,Jägermeister,1/2 oz ,Root beer,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
536,Ziemes Martini Apfelsaft,14157,Ordinary Drink,Collins Glass,Serve without ice. At least the juice shold have room temperature.,Vermouth,4 cl ,Apple juice,16 cl ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
537,Zima Blaster,17027,Ordinary Drink,Hurricane glass,"Fill glass with ice. Pour in Chambord, then fill with Zima. Mix and enjoy.",Zima,12 oz ,Chambord raspberry liqueur,3 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
538,Zimadori Zinger,15801,Punch / Party Drink,Collins glass,Pour Zima in a collins glass over ice and then pour the shot of Midori. Don't stir. Garnish with a cherry.,Midori melon liqueur,1.5 oz ,Zima,12 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
539,Zinger,14888,Soft Drink / Soda,Highball glass,Get a shot glass and pour in three shots of the schnapps. Do the same with the Surge Cola. Then down it like Scheetz would.,Peachtree schnapps,4 shots ,Surge,4 shots ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
540,Zipperhead,16942,Shot,Whiskey sour glass,"Fill glass with rocks, add straw before putting in liquor. Then add the ingredients in order, trying to keep layered as much as possible (i.e. Chambord on bottom, then Vodka, Then soda on top).",Chambord raspberry liqueur,1 shot ,Vodka,1 shot ,Soda water,Fill with ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
541,Zippy's Revenge,14065,Cocktail,Old-fashioned glass,Mix Kool-Aid to taste then add Rum and ammaretto. shake well to disolve the sugar in the Kool-Aid... serve cold,Amaretto,2 oz ,Rum,2 oz ,Kool-Aid,4 oz Grape ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
542,Zizi Coin-coin,14594,Punch / Party Drink,Margarita/Coupette glass,"Pour 5cl of Cointreau on ice, add 2cl of fresh lemon (or lime) juice, stir gently, and finally add slices of lemon/lime in glass.",Cointreau,5 cl ,Lemon juice,2 cl ,Ice," cubes
",Lemon," or lime
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
543,Zoksel,15691,Soft Drink / Soda,Beer pilsner,"No specific mixinginstructions, just poor every ingredient in one glass. The lemon goes with it.",Beer,"
",Root beer,"
",Lemonade,"
",Coca-Cola," slice
",7-Up,"
",Creme de Cassis,"
",Lemon,"
",,"
",,"
",,,,,,,,,,,,
544,Zorbatini,16963,Cocktail,Cocktail glass,Prepare like a Martini. Garnish with a green olive.,Vodka,1 1/4 oz Stoli ,Ouzo,1/4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
545,Zorro,15328,Coffee / Tea,Coffee Mug,add all and pour black coffee and add whipped cream on top.,Sambuca,2 cl ,Bailey's irish cream,2 cl ,White Creme de Menthe,2 cl ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
